	HEX_600	01_HEX_weighted_average_distance	01_HEX_weighted_mean_home_distance	01_HEX_weighted_max_home_distance	01_HEX_weighted_median_home_distance	01_HEX_weighted_radius_of_gyration	01_HEX_weighted_num_reporting_2015	01_HEX_weighted_HEX_coverage	01_HEX_weighted_subject_coverage	01_HEX_weighted_subject_hhi	01_HEX_total_reporting	01_HEX_total_user	user_type	reporting_level
109	183	1950.1393043746	1656.1164749224	5123.8785833826	1258.1697240991	934.129896447	24	7	3	0.5333333333	4	4	1	1
110	184	1048.3673117871	1233.1206186483	2432.773735431	1155.4742965569	316.8639544609	4.56	2.04	1.56	0.79705	2500	1950	1	1
111	185	376.5963133703	617.8651132182	912.9862810273	618.9012766161	81.8501354769	3.358974359	1.8846153846	1.5128205128	0.8341096866	6084	4524	1	1
112	186	215.1456998543	188.2037153435	404.9188753457	153.1857529594	73.3476537771	2.7735849057	1.4528301887	1.2924528302	0.86382793	11236	8586	1	1
113	187	312.7559549675	399.1010175581	665.4712090277	374.6251470189	55.7693771773	4.2455357143	2.0044642857	1.3348214286	0.856933714	50176	32928	1	1
114	188	176.8825803433	215.8353969686	492.1027170846	182.5507924606	68.1731183984	9.487544484	2.2775800712	1.7953736655	0.7777322323	315844	186022	1	1
115	189	276.9804942291	393.3506828114	782.3560389427	312.9388520497	74.8639075226	15.520242915	2.3481781377	1.6761133603	0.7960317165	244036	141778	1	1
116	190	220.0161180097	378.6802154594	651.33846619	349.4143339394	65.2794307791	13.0427350427	2.3290598291	1.4700854701	0.8305524747	54756	32526	1	1
117	191	688.1530555052	1206.1170333404	2244.2150916715	997.991344877	172.7268424093	2.4615384615	1.5384615385	1.3076923077	0.7723076923	169	156	1	1
118	192	451.9230820355	610.5806790884	1019.8807339758	627.1278634622	102.3941854249	4.9514563107	3.1553398058	1.4563106796	0.8181871662	10609	7313	1	1
119	193	1481.6298956436	1540.3300685527	3858.360801873	1409.5019426901	554.5896881765	8.75	7	2	0.5506660998	16	12	1	1
120	194	1253.5429073924	916.2048579772	2669.2787762236	442.1612436587	360.7089243391	6.8571428571	3.7142857143	1.2857142857	0.937277404	49	42	1	1
121	195	578.3352653521	1579.5200041222	3049.2092076121	1417.5317648558	243.3896505195	9.2222222222	4.7777777778	1.4444444444	0.9024315174	81	72	1	1
122	202	0	18.5066246432	18.5066246432	18.5066246432	0	1.1666666667	1	1	0.875	36	36	1	1
123	203	139.3047143197	563.3533507541	851.0905734234	537.7020855766	74.77751765	3.7166666667	1.6166666667	1.55	0.8519621317	3600	2700	1	1
124	204	657.20522899	1230.4191727569	2125.1458995786	1081.006442991	223.7317268444	7.2553191489	2.670212766	1.9521276596	0.778300989	35344	21056	1	1
125	205	80.2117071562	625.5265096945	696.8489217373	591.1229350493	1.6294084989	1.6666666667	1.1666666667	1	1	576	480	1	1
126	206	3086.3377578092	2046.9721241258	4275.9597992186	2265.314039459	361.5885015775	6	4.5	2.5	0.52	4	4	1	1
127	207	1631.5979761413	1209.3822108314	3410.6037123997	898.9453370509	377.2902035685	9.8723404255	4.0212765957	2.0425531915	0.6622941948	2209	1645	1	1
128	208	1083.4873507839	1022.5223960842	2108.2280973261	875.9249428793	184.0607529563	9	3.1428571429	1.8285714286	0.7181618481	1225	910	1	1
129	209	451.5352626007	978.8234872403	1355.2027330978	917.6790058311	91.6666718949	4.4509803922	2.0784313725	1.4705882353	0.8598275421	2601	1989	1	1
130	210	1084.6970504796	1194.1653360396	1979.2481369076	1172.4328836758	165.2566759022	4.3731343284	2.1641791045	1.5373134328	0.8139887298	4489	3350	1	1
131	211	213.6827929266	346.6085712831	552.8552332972	314.8099920235	62.8153816747	3.5871212121	1.6553030303	1.5795454545	0.8106437952	69696	45408	1	1
132	212	282.0737849028	367.9557461285	735.3051098752	336.9328779803	88.7635630632	14.9380733945	2.4587155963	1.6811926606	0.7749174708	190096	114232	1	1
133	213	157.2322414071	549.4578655466	743.5267842935	536.6494368397	63.6177733296	10.5	2.023255814	1.3255813953	0.8764281435	7396	5590	1	1
134	214	0	86.5983580535	86.5983580535	86.5983580535	0	1.8	1	1	1	25	15	1	1
135	215	498.150893849	1204.4021664653	1482.3254406613	1254.8273595917	112.709925043	3.1836734694	1.5102040816	1.4897959184	0.8049886621	2401	1568	1	1
136	216	277.2195528241	309.464591145	559.7184714292	284.6352788141	74.7148919556	2.9897959184	1.306122449	1.4591836735	0.8271843805	86436	59388	1	1
137	217	155.1452907081	380.937045422	613.0758833942	341.316046949	55.2015402094	3.8	1.3428571429	1.3918367347	0.858220153	60025	40670	1	1
138	218	353.2886643277	381.0189440111	953.8224967464	283.1271596681	117.6608255592	5.3804347826	2.4402173913	1.5217391304	0.8015254403	33856	24472	1	1
139	219	191.0568385775	179.7726191494	396.4803392404	135.6810807134	28.5972498528	2.641509434	1.3396226415	1.3459119497	0.8234929291	25281	17967	1	1
140	220	213.4529098651	264.8854723802	403.7601266553	265.1064224159	35.4967135333	1.932038835	1.1067961165	1.2233009709	0.8408090615	10609	8034	1	1
141	222	0	1661.060670867	1661.060670867	1661.060670867	0	1	1	1	1	1	1	1	1
142	224	0	5231.3919278513	5231.3919278513	5231.3919278513	0	1	1	1	1	1	1	1	1
143	225	5.9643032308	124.6477542532	125.5230173695	125.5230173695	1.4791634583843919e-08	2.6666666667	1	1.3333333333	0.875	144	72	1	1
144	228	447.3178683405	603.028774667	1716.5103456668	488.7118665873	236.6476853518	8.1306818182	2.4318181818	1.4829545455	0.8064198591	30976	19712	1	1
145	229	387.8521524696	431.4658872646	1228.1052929216	350.608043783	164.5591751498	6.2282608696	2.3586956522	1.3804347826	0.8818882199	33856	23368	1	1
146	230	343.1395968724	462.7620012476	787.8916373537	436.3846705098	72.4137888053	4.0058823529	1.4529411765	1.4176470588	0.8080747734	28900	17170	1	1
147	231	386.3349859156	667.0606992486	966.4370229247	691.2061860611	65.9817220514	2.6	1.6	1.2923076923	0.9071604938	4225	3055	1	1
148	232	329.9126080858	353.2560657818	780.3600147845	292.028148758	66.24037921	6.3557692308	2.1442307692	1.4326923077	0.8762691233	10816	6344	1	1
149	233	1132.1389383683	1148.3605439858	2243.4524873569	931.089804439	278.5953202353	9.0816326531	2.306122449	1.8163265306	0.6953137829	2401	1715	1	1
150	234	840.3715909112	1438.0539567757	2283.3296481333	1440.665092519	232.2907903576	10.1206896552	5.3620689655	1.6379310345	0.8220830115	3364	2726	1	1
151	235	1209.6608752926	1953.2558769233	2757.2143667202	2082.2082382576	612.4805729438	26.3333333333	4.1666666667	1.8333333333	0.7382973251	36	18	1	1
152	236	0	397.2031385799	397.2031385799	397.2031385799	0	1.5	1	1	1	16	12	1	1
153	237	145.7329426235	254.8519075573	341.0916116407	250.1236197691	3.3012702075	2.2608695652	1.077294686	1.309178744	0.8505081844	42849	30222	1	1
154	238	233.4945712662	217.3250617521	417.9490298632	184.6053402071	34.6209883699	4.8464419476	1.1947565543	1.3595505618	0.8500232408	71289	43788	1	1
155	239	147.2882242467	142.6521819715	326.0376600067	125.6764862495	38.4646046479	18.7833333333	1.8428571429	1.9023809524	0.8325955383	176400	102900	1	1
156	240	85.4742053883	150.9362168822	230.8890380249	133.9117364687	8.4038629458	2.5988023952	1.1407185629	1.254491018	0.8577271716	111556	82498	1	1
157	241	116.7727931008	111.4767259434	277.0038658473	90.7805714183	39.4585353353	2.7256637168	1.1017699115	1.3716814159	0.8268160907	51076	32318	1	1
158	242	0	48.9708186551	48.9708186551	48.9708186551	0	1	1	1	1	4	4	1	1
159	248	733.7519502765	602.5312916623	1899.4097968059	355.0360765998	128.8108591075	5.3793103448	2.0344827586	1.5517241379	0.7197234195	841	551	1	1
160	249	138.5597907206	283.0307172025	415.2067935055	258.6187798705	27.1885116055	2.9942857143	1.4914285714	1.2514285714	0.8584349558	30625	19600	1	1
161	250	304.0137869814	510.9207175949	861.9064191621	492.5253223386	76.0627597935	3.8583333333	2.4166666667	1.3083333333	0.8635918272	14400	11280	1	1
162	251	248.1970723474	276.9605186404	560.4141687831	227.1596504231	64.4749576097	3.8125	1.3235294118	1.4522058824	0.8225455983	73984	42160	1	1
163	252	271.3038748093	535.3364169967	960.013069686	502.6296367228	103.2236905305	3.512195122	1.4292682927	1.643902439	0.7763233308	42025	26035	1	1
164	253	279.5754442697	459.4078252396	672.8440742887	492.6929076718	41.4051407543	2.497382199	1.2827225131	1.2460732984	0.8795024887	36481	24639	1	1
165	254	237.4090810789	365.2777586447	579.9191848475	322.2145591587	38.4416939957	2.9814814815	1.2345679012	1.4691358025	0.8263017378	26244	17010	1	1
166	255	323.6103531768	401.1195915965	653.5736389575	494.0642115833	46.5382251077	4.6641221374	1.3282442748	1.8244274809	0.7114651938	17161	8384	1	1
167	256	45.6323804301	1006.1252933306	1048.5200675228	985.9363034186	19.174313705	2.5333333333	1.2	1.4	0.86875	225	180	1	1
168	257	168.3757792671	249.8288555994	355.0975929619	246.7805955348	31.2371212181	2.223880597	1.1492537313	1.3358208955	0.8408996683	17956	12730	1	1
169	258	121.5732026632	449.8551438366	554.4754370381	431.1872469678	29.489567923	4.2926829268	1.0853658537	1.3780487805	0.808379307	6724	3936	1	1
170	260	784.6643131146	1056.4344043485	1375.0392094158	1214.9300452574	150.5268606873	1.8	1.4	1	1	25	20	1	1
171	270	0	463.7130727949	463.7130727949	463.7130727949	0	2	1	1	1	4	2	1	1
172	271	183.9668518405	333.3581150518	459.4173191889	325.0272314378	9.6765376714	2.2621359223	1.1359223301	1.1650485437	0.9018770227	10609	7107	1	1
173	272	382.8105466899	374.2193744788	893.3884228656	288.9385429174	92.1087021626	4.4215384615	1.7138461538	1.4707692308	0.8567781235	105625	67925	1	1
174	273	348.5822053859	407.3001174071	954.5934871026	414.1003546594	79.6493940357	4.868852459	1.2786885246	1.618852459	0.8214870502	59536	38796	1	1
175	274	397.2106624977	711.454876384	1209.0271061746	579.5485816433	110.7466190031	3.5964912281	1.9649122807	1.6315789474	0.7853680131	3249	2394	1	1
176	275	241.9142115662	264.6805489903	473.8713388205	226.2732974531	42.1576197659	2.3412322275	1.2132701422	1.2464454976	0.8745281097	44521	29962	1	1
