Index	HEX_600	03_HEX_weighted_average_distance	03_HEX_weighted_mean_home_distance	03_HEX_weighted_max_home_distance	03_HEX_weighted_median_home_distance	03_HEX_weighted_radius_of_gyration	03_HEX_weighted_num_reporting_2015	03_HEX_weighted_HEX_coverage	03_HEX_weighted_subject_coverage	03_HEX_weighted_subject_hhi	03_HEX_total_reporting	03_HEX_total_user	user_type	reporting_level
135	210	1815.0985026101	1746.186780185	3466.5555313808	1706.0329687983	496.1947130422	107.3493975904	32.6265060241	2.3373493976	0.745098415	6889	4814	3	1
136	211	552.7830265929	623.8152209232	1284.8110045683	556.8644577674	200.209641289	27.2097902098	10.2447552448	1.8041958042	0.788586275	81796	51480	3	1
137	212	514.4683744431	566.4394237836	1249.9505249023	502.0473812804	180.5022226156	32.7260869565	8.6217391304	1.8456521739	0.7661758733	211600	125120	3	1
138	213	565.2338189567	807.0649827611	1471.8154717302	763.3596417334	224.1340549011	45.9684210526	13.4526315789	1.6210526316	0.8496191603	9025	6745	3	1
139	214	1367.2698928414	1169.878018112	2910.9359413541	1058.0809478543	536.3735642699	6.4285714286	5.5714285714	2	0.8552556938	49	35	3	1
140	215	1050.4263693196	1565.0515701232	2628.0109503876	1566.1322229024	346.8803366411	78.5535714286	23.6964285714	2.125	0.7520578742	3136	2016	3	1
141	216	482.5938506029	460.2095127029	981.3850906627	422.4711773293	155.0062225923	36.2736156352	10.67752443	1.6938110749	0.8081767827	94249	63242	3	1
142	217	387.9121164671	562.152215532	1029.0504386611	517.456686918	127.5792631914	18.31640625	6.265625	1.5390625	0.8406007736	65536	44544	3	1
143	218	469.9991966825	508.495706706	1192.7700916556	411.3729105835	155.4275887793	15.9	5.3842105263	1.6157894737	0.7930093146	36100	26220	3	1
144	219	286.2761203786	256.4640283174	599.5407867575	205.3887151578	67.4712555217	6	3.2222222222	1.4135802469	0.8186548874	26244	18630	3	1
145	220	295.8292471555	367.3360895672	620.3347672494	345.675678206	73.9879824021	2.5094339623	1.4528301887	1.2358490566	0.8446806737	11236	8586	3	1
146	222	0	1661.060670867	1661.060670867	1661.060670867	0	1	1	1	1	1	1	3	1
147	224	0	5231.3919278513	5231.3919278513	5231.3919278513	0	1	1	1	1	1	1	3	1
148	225	435.0559459984	432.9448570154	1006.483537738	405.7970199913	171.3583839004	79.1538461538	21.9230769231	1.8461538462	0.8295915058	169	91	3	1
149	228	642.6020003765	752.1450217087	2116.2663307388	619.1108339622	313.1537393206	23.0710382514	7.8907103825	1.6557377049	0.7937734845	33489	21411	3	1
150	229	526.1866852	543.4899488111	1525.5474919549	447.042959645	217.3008807385	15.6984126984	6.2063492063	1.5026455026	0.8718767998	35721	24759	3	1
151	230	946.2612136593	901.5402051541	1983.7860683816	844.7012427776	310.7917857255	88.4352331606	25.414507772	2.0518134715	0.7556196003	37249	20844	3	1
152	231	822.7128751978	1065.5106119113	1948.3705012963	1080.4007949575	264.1910556022	46.0394736842	14.7236842105	1.6578947368	0.8607431334	5776	3952	3	1
153	232	483.7210768963	465.8375855546	1092.7241335805	392.8225761269	128.0023410964	26.1495327103	8.1869158879	1.5981308411	0.8607656585	11449	6741	3	1
154	233	2020.1897050383	1800.193646956	4296.2600260162	1500.1285581302	681.1449660448	112.8970588235	36.5147058824	2.5735294118	0.6417642471	4624	2856	3	1
155	234	2071.1862671394	2256.131399231	4864.292388658	2091.0896578878	735.6768978891	163.5125	52.3375	2.875	0.7281860209	6400	4240	3	1
156	235	2292.6344773089	2282.6855606286	4455.2660453861	2287.3719696877	813.0207325065	215.6	57.5	3	0.6499163101	100	60	3	1
157	236	0	397.2031385799	397.2031385799	397.2031385799	0	1.5	1	1	1	16	12	3	1
158	237	457.2425035917	516.893436916	981.7074117778	488.3688487582	127.485246356	29.4732142857	10.2098214286	1.5803571429	0.8273347525	50176	34272	3	1
159	238	357.848281938	330.1293357671	704.1305132132	289.4457003136	84.5392667181	11.8357664234	4.1715328467	1.4671532847	0.8400387771	75076	46306	3	1
160	239	216.8115834797	210.0376116762	478.1798563428	188.2690219143	65.4886066495	25.9348837209	4.1511627907	1.9558139535	0.8261521606	184900	107930	3	1
